band_abbrev,band_copied,date_right_after_band,notes_copied
magnum,"""Magnum""",,""""""
magpie,"""Magpie""",,""""""
magpie salute,"""Magpie Salute""",,""""""
magpiesalute,"""Magpie Salute""",,""""""
mahavishnu,"""Mahavishnu Orchestra""",,""""""
mahavishnu orchestra,"""Mahavishnu Orchestra""",,""""""
mahmoudtawor,"""Mahmoud Tawor""",,""""""
maidenunited,"""Maiden United""",,""""""
malinky,"""Malinky""",,""""""
man,"""Man""",,""""""
manassas,"""Manassas""",,""""""
mandog,"""Mandog""",,""""""
mandolinorange,"""Mandolin Rouge""",,""""""
maneskjold,"""Måneskjold""",,""""""
manicstreetpreachers,"""Manic Street Preachers""",,""""""
mannycharltonband,"""Manny Charlton Band""",,""""""
manthor,"""Manthor""",,""""""
mantler,"""Michael Mantler""",,""""""
maps&atlases,"""Maps & Atlases""",,""""""
maradeen,"""MARADEEN""",,""""""
marcia griffiths with sly & robbie,"""Marcia Griffiths with Sly and Robbie""",,""""""
marcu,"""unknown""",,""""""
marcusearly,"""unknown""",FALSE,""""""
marcusking,"""Marcus King""",,""""""
marcuslate,"""unknown""",FALSE,""""""
marcusmiddle,"""unknown""",FALSE,""""""
margo,"""unknown""",,""""""
maria_muldar,"""Maria Muldar""",,""""""
marianne.faithfull,"""Marianne Faithfull""",,""""""
mariaschneider,"""Maria Schneider""",,""""""
marillion,"""Marillion""",,""""""
marilyn mazurs shamania,"""Marilyn Mazur""",FALSE,""""""
marilynmanson,"""Marilyn Manson""",,""""""
marisaanderson,"""Marissa Anderson""",,""""""
mark geary,"""Mark Geary""",,""""""
mark lanegan band,"""Mark Lanegan Band""",,""""""
markknopfler,"""Mark Knopfler""",,""""""
marklanegan,"""Mark Lanegan Band""",,""""""
marksbrothers,"""Marks Brothers""",,""""""
markstuart,"""Mark Stuart""",,""""""
marley,"""Bob Marley""",,""""""
marley bros,"""Marley Brothers""",,""""""
marley family & others,"""Marley Family & Others""",,""""""
marlon williams,"""Marlon Williams""",,""""""
marque,"""Marque""",,""""""
marqueur,"""unknown""",,""""""
marshallanger,"""Mike Marshall& Darol Anger""",,""""""
martasanchez,"""Marta Sanchez""",,""""""
martha wainwright,"""Martha Wainwright""",,""""""
martin,"""unknown""",,""""""
martin barre,"""Martin Barre""",,""""""
martin barre band,"""Martin Barre Band""",,""""""
martin mull,"""Martin Mull""",,""""""
martinbarre,"""Martin Barre""",,""""""
martinsimpson,"""Martin Simpson""",,""""""
martyn joseph,"""Martyn Joseph""",,""""""
martystuart,"""Mary Stewart""",,""""""
marvin gaye,"""Marvin Gaye""",,""""""
marvin gaye - aint nothing like the real thing - mono mixdown,"""Marvin Gaye""",FALSE,""""""
mary epworth,"""Mary Epworth""",,""""""
mary gautier,"""Mary Gautier""",,""""""
masekela,"""Hugh Masakela""",,""""""
maserati,"""Maserati""",,""""""
mastersofreality,"""Masters of Reality""",,""""""
mat,"""unknown""",,""""""
matadorsoulsounds,"""Matador""",FALSE,""""""
material,"""unknown""",,""""""
mats gustafsson,"""Mats Gustafsson""",,""""""
matt,"""unknown""",,""""""
mattandersen,"""Matt Andersen""",,""""""
matthaimovitz,"""Matt Haimovitz""",,""""""
matthew sweet,"""Matthew Sweet""",,""""""
mattschofield,"""Matt Schofield""",,""""""
mavericks,"""The Mavericks""",,""""""
mavis,"""Mavis Staples""",,""""""
mavis staples,"""Mavis Staples""",,""""""
mavisstaples,"""Mavis Staples""",,""""""
max-webster-rush,"""Max Webster & Rush""",,""""""
max_webster,"""Max Webster""",,""""""
may,"""unknown""",,""""""
mayanfemme,"""Mayan Femme""",,""""""
mayhem,"""Mayhem""",,""""""
mazzy star,"""Mazzy Star""",,""""""
mbb,"""The MBB Band""",,""""""
mbg,"""The MBG""",,""""""
mbv,"""My Bloody Valentine""",,""""""
mccourys,"""The Travelin' McCourys""",,""""""
mccoy tyner,"""McCoy Tyner""",,""""""
"mcilwaine, ellen","""Ellen Mcilwaine""",,""""""
"mckee, maria","""Maria McKee""",,""""""
mdoughty,"""Mike Doughty""",,""""""
me + marie,"""Me + Marie""",,""""""
meaghan burke & the burkettes,"""Meaghan Burke & The Burkettes""",,""""""
meat_puppets,"""Meat Puppets""",,""""""
meena,"""Meena Cryle""",,""""""
megadeth,"""Megadeth""",,""""""
melbourne,"""Melbourne""",,""""""
melfordscheinman,"""Jenny Scheinman & Myra Melford""",,""""""
melissaetheridge,"""Melissa Etheridge""",,""""""
mellencamp,"""John Cougar Mellencamp""",,""""""
melones,"""unknown""",,""""""
melt dunes,"""Melt Dunes""",,""""""
melvinjgb,"""Melvin Seals & JGB""",,""""""
melvins,"""The Melvins""",,""""""
melvinseals,"""Melvin Seals""",,""""""
mermaid,"""Mermaid""",,""""""
meshuggah,"""Meshuggah""",,""""""
messer chups,"""Messer Chups""",,""""""
metallica,"""Metallica""",,""""""
meters,"""The Meters""",,""""""
"metheny, pat","""Pat Metheny""",,""""""
metopera,"""The Met Opera""",,""""""
metz,"""METZ""",,""""""
mezzoforte,"""Mezzoforte""",,""""""
mf+s,"""unknown""",,""""""
mfl boef & lil kleine,"""Boef & Lil Kleine""",,""""""
mfp,"""unknown""",,""""""
mgb,"""MGB""",,""""""
mgibbs,"""unknown""",,""""""
mgordon,"""Melvin Gibbs""",,""""""
mh+pd,"""unknown""",,""""""
mia,"""unknown""",,""""""
mia doi todd,"""Mia Doi Todd""",,""""""
michael mikolaschek,"""Michael Mikolaschek""",,""""""
michaelchapman,"""Michael Chapman""",,""""""
michaelhedges,"""Michael Hedges""",,""""""
michaelnesmith,"""Michael Nesmith""",,""""""
michel godard,"""Michel Godard""",,""""""
mick flannery,"""Mick Flannery""",,""""""
mick taylor,"""Mick Taylor""",,""""""
mick.taylor,"""Mick Taylor""",,""""""
middlekids,"""Middle Kids""",,""""""
midnight oil,"""Midnight Oil""",,""""""
midnightnorth,"""Midnight North""",,""""""
midnightoil,"""Midnight Oil""",,""""""
midnightsteamer,"""Midnight Steamer""",,""""""
midtown social,"""Midtown Social""",,""""""
mightyfergusons,"""The Mighty Fergusons""",,""""""
mike,"""unknown""",,""""""
mike gordon,"""Mike Gordon""",,""""""
mike heron & trembling bells,"""Mike Heron & Trembling Bells""",,""""""
mike oldfield,"""Mike Oldfield""",,""""""
mike stern,"""Mike Stern""",,""""""
mike westbrook,"""Mike Westbrook""",,""""""
mikedillon,"""Mike Dillon""",,""""""
mikeeffenberger,"""Mike Effenberger""",,""""""
mikegordon,"""Mike Gordon""",,""""""
mikekeneallyprogday,"""Mike Kenneally""",FALSE,""""""
mikemiz,"""Mike MiZ""",,""""""
mileselectricband,"""Miles Electric Band""",,""""""
miley cyrus,"""Miley Cyrus""",,""""""
minamideutsch,"""Minami Deutsch""",,""""""
ministry,"""Ministry""",,""""""
miriodor,"""Miriodor""",,""""""
mirthkon,"""miRthkon""",,""""""
misfits,"""Misfits""",,""""""
missmojo,"""Miss Mojo""",,""""""
misstess,"""Misstess""",,""""""
mister please,"""Mister Please""",,""""""
misterf,"""Mister F""",,""""""
"mitchell, joni","""Joni Mitchell""",,""""""
mix tape vol,"""notband""",,""""""
miz,"""Mike MiZ""",,""""""
mjhurt,"""unknown""",,""""""
mkb,"""Marcus King Band""",,""""""
mlb,"""Mother Love Bone""",,""""""
mm,"""unknown""",,""""""
mms,"""unknown""",,""""""
mmw+soulbop,"""Medeski, Martin, & Wood with Soulbop""",,""""""
mo_frau,"""unknown""",,""""""
moaningcities,"""Moaning Cities""",,""""""
moby grape,"""Moby Grape""",,""""""
moequeous,"""Mosqueos""",,""""""
moester,"""unknown""",,""""""
mofro,"""Mofro""",,""""""
mohammedshampat,"""Mohammed Shampat""",,""""""
mojodaddy,"""Mojo Daddy""",,""""""
mondosample,"""unknown""",,""""""
monroe,"""Monroe""",,""""""
monster magnet,"""Monster Magnet""",,""""""
monstermagnet,"""Monster Magnet""",,""""""
montemontgomery,"""Monte Montgomery""",,""""""
montreal,"""unknown""",,""""""
moody,"""unknown""",,""""""
moody blues,"""The Moody Blues""",,""""""
moody-blues,"""The Moody Blues""",,""""""
moodyblues,"""The Moody Blues""",,""""""
moodybluesoct,"""The Moody Blues""",FALSE,""""""
moondance,"""Moondance""",,""""""
moonduo,"""Moon Duo""",,""""""
moonspell,"""Moonspell""",,""""""
morbosidad,"""Morbosidad""",,""""""
morning jacket,"""My Morning Jacket""",,""""""
morphine,"""Morphine""",,""""""
morrissey,"""Morrissey""",,""""""
mosier,"""Jeff Mosier""",,""""""
motley crue,"""Motley Crue""",,""""""
motorhead,"""Motorhead""",,""""""
motorpsycho,"""Motorpsycho""",,""""""
mott the hoople,"""Mott the Hoople""",,""""""
mount eerie,"""Mount Eerie""",,""""""
mount kimbie,"""Mount Kimbie""",,""""""
mount_hush,"""Mount Hush""",,""""""
mow,"""unknown""",,""""""
moz,"""MOZ""",,""""""
mr fox,"""Mr. Fox""",,""""""
mratvdsgmfgathmd,"""unknown""",,""""""
mrbig,"""Mr. Big""",,""""""
mrsun,"""Mr. Sun""",,""""""
mry,"""MRY""",,""""""
ms_jgb,"""Merl Saunders & The Jerry Garcia Band""",,""""""
mschenker tor,"""Marty Schenker""",FALSE,""""""
msmw,"""Medeski, Martin, & Wood""",,""""""
mtb,"""The Marshall Tucker Band""",,""""""
mtnride,"""Mountain Ride""",,""""""
mturner,"""unknown""",,""""""
mudcrutch,"""Mudcrutch""",,""""""
muddy,"""unknown""",,""""""
muddy waters,"""Muddy Waters""",,""""""
muddymagnolias,"""Muddy Magnolias""",,""""""
mudhoney track,"""Mudhoney""",FALSE,""""""
mudmorganfield,"""Mud Morganfield""",,""""""
muhal richard abrams - rufus reid,"""Muhal Richard Abrams & Rufus Reid""",,""""""
mulatuastatke,"""Mulatu Asatke""",,""""""
mumforandsons,"""Mumford & Sons""",,""""""
mumfordandsons,"""Mumford & Sons""",,""""""
muse,"""Muse""",,""""""
mushroomhead,"""Mushroomhead""",,""""""
mwestbrook,"""unknown""",,""""""
mylifestory,"""My Life Story""",,""""""
myrathkÃ£Â¶ln,"""Myrath""",FALSE,""""""
myrathmuenchen,"""Myrath""",FALSE,""""""
mysteryverviers,"""Mystery VERVIERS""",,""""""
mysteryzoetermeer,"""Mystery""",FALSE,""""""
n,"""notband""",,""""""
naam,"""Naam""",,""""""
nadasurf,"""Nada Surf""",,""""""
naeebkhogali,"""unknown""",,""""""
nakedcity,"""Naked City""",,""""""
nakedfunkproject,"""The Naked Funk Project""",,""""""
nas,"""Nas""",,""""""
nashvillepussy,"""Nashville Pussy""",,""""""
nate,"""unknown""",,""""""
nateanddan,"""unknown""",,""""""
nathanielrateliff&thenightsweats,"""Nathaniel Ratliff & The Night Sweats""",,""""""
national,"""The National""",,""""""
naughtyprofessor,"""Naughty Professor""",,""""""
naxatras,"""Naxatras""",,""""""
nazcaspacefox,"""Nazca Space Fox""",,""""""
nbb,"""unknown""",,""""""
nc,"""unknown""",,""""""
ncbs,"""unknown""",,""""""
neil young,"""Neil Young""",,""""""
neildiamond,"""Neil Diamond""",,""""""
neilyoung,"""Neil Young""",,""""""
nels cline,"""Nels Cline""",,""""""
nels cline larry ochs gerald cleaver trio,"""The Nels Cline, Larry Ochs, & Gerald Cleaver Trio""",,""""""
neu,"""Neu!""",,""""""
nevermore,"""Nevermore""",,""""""
neville,"""Aaron Neville""",,""""""
nevilles,"""The Neville Brothers""",,""""""
new,"""unknown""",,""""""
new kingston,"""New Kingston""",,""""""
new mastersounds,"""The New Mastersounds""",,""""""
new model army,"""New Model Army""",,""""""
new order,"""New Order""",,""""""
new trolls,"""New Trolls""",,""""""
new york dolls,"""New York Dolls""",,""""""
newmast,"""unknown""",,""""""
neworleanssuspects,"""New Orleans Suspects""",,""""""
nfak_leone_xiii,"""Nursat Fateh Ali Khan""",FALSE,""""""
ng,"""unknown""",,""""""
ngr,"""unknown""",,""""""
nichole,"""unknown""",,""""""
nick,"""unknown""",,""""""
nick cave,"""Nick Cave""",,""""""
nick hakim,"""Nick Hakim""",,""""""
nick_cave,"""Nick Cave""",,""""""
nick_moss,"""Nick Moss""",,""""""
nickcave,"""Nick Cave""",,""""""
nicklowe,"""Nick Lowe""",,""""""
nico,"""Nico""",,""""""
nicoleatkins,"""Nicole Atkins""",,""""""
night thunas,"""unknown""",,""""""
nighthawks,"""Nighthawks""",,""""""
niks,"""notband""",,""""""
nils petter molvÃ£Â¦r,"""Nils Petter Molvær""",,""""""
nin,"""Nine Inch Nails""",,""""""
nina hagen,"""Nina Hagen""",,""""""
nirmala rajasekar,"""Nirmala Rajasekar""",,""""""
nirvana,"""Nirvana""",,""""""
nkotb,"""New Kids on the Block""",,""""""
nma,"""New Model Army""",,""""""
nmb,"""unknown""",,""""""
nmckay,"""unknown""",,""""""
nmh,"""Neutral Milk Hotel""",,""""""
nmo,"""N.M.O.""",,""""""
nno,"""unknown""",,""""""
no,"""unknown""",,""""""
no man's land,"""No Man's Land""",,""""""
nocentelli,"""Leo Nocentelli""",,""""""
noelgallagher,"""Noel Gallagher""",,""""""
nos,"""N*O*S""",,""""""
nothing but thieves,"""Nothing But Thieves""",,""""""
nova mob,"""Nova Mob""",,""""""
npc,"""unknown""",,""""""
npg,"""The New Power Generation""",,""""""
nr,"""unknown""",,""""""
nrbq,"""NRBQ""",,""""""
ns,"""unknown""",,""""""
nt,"""unknown""",,""""""
nthpower,"""The Nth Power""",,""""""
nuclearassault,"""Nuclear Assalt""",,""""""
nullstellensatz,"""Nullstellensatz""",,""""""
nuno bettencourt,"""Nuno Bettencourt""",,""""""
ny,"""Neil Young""",,""""""
ny salsa all stars,"""New York Salsa All Stars""",,""""""
ny_sf,"""Neil Young""",FALSE,""""""
nyd,"""New Years Day""",,""""""
nyphil,"""New York Philharmonic""",,""""""
nyro,"""Laura Nyro""",,""""""
oasis,"""Oasis""",,""""""
obrienscott,"""Tim O'Brien & Darrell Scott""",,""""""
obsessed,"""The Obsessed""",,""""""
ocher,"""Ocher""",,""""""
ohmphrey,"""OHMphrey""",,""""""
olakvernbergsteamdome,"""Ola Kvernberg""",FALSE,""""""
old,"""notband""",,""""""
oldcrowmedicineshow,"""Old Crow Medicine Show""",,""""""
olelukkoye,"""Ole Lukkøye""",,""""""
olibrown,"""Oli Brown""",,""""""
olivianewtonjohn,"""Olivia Newton-John""",,""""""
olp,"""Our Lady Peace""",,""""""
olympus ls,"""Olympus""",FALSE,""""""
omd razzmatazz,"""Orchestral Manoeuvres in the Dark & Razzmatazz""",,""""""
omni,"""Omni""",,""""""
operationmindcrime,"""Operation: Mindcrime""",,""""""
opeth,"""Opeth""",,""""""
orango,"""Orango""",,""""""
orcchampselysees,"""Orchestre des Champs-Élysées""",,""""""
ordenoganlangen,"""Orden Ogan""",FALSE,""""""
oren ambarchi,"""Oren Ambarchi""",,""""""
orkesta mendoza,"""Orkestra Mendoza""",,""""""
orphanedland,"""Orphaned Land""",,""""""
ost,"""Ost""",,""""""
osvaldo golijov azul,"""Osvaldo Golijov""",FALSE,""""""
otava yo,"""Otava Yo""",,""""""
oteil & friends,"""Oteil Burbridge & Friends""",,""""""
oteil burbridge & friends,"""Oteil Burbridge & Friends""",,""""""
oteil_friends,"""Oteil Burbridge & Friends""",,""""""
oteilburbridgeandfriends,"""Oteil Burbridge & Friends""",,""""""
otf,"""unknown""",,""""""
otherones,"""The Other Ones""",,""""""
otiel&friends,"""Oteil Burbridge & Friends""",,""""""
otielandfriends,"""Oteil Burbridge & Friends""",,""""""
otis rush,"""Otis Rush""",,""""""
otomoyoshihide,"""Otomo Yoshihide""",,""""""
oubisample,"""unknown""",,""""""
our lady peace,"""Our Lady Peace""",,""""""
out_lines,"""Out Lines""",,""""""
outlines,"""Out Lines""",,""""""
oysterband,"""Oysterband""",,""""""
oznoy,"""Oz Noy""",,""""""
ozric,"""Ozric Tentacles""",,""""""
ozric tentacles,"""Ozric Tentacles""",,""""""
ozrictentacles,"""Ozric Tentacles""",,""""""
ozzy osbourne,"""Ozzy Osbourne""",,""""""
ozzyosbourne,"""Ozzy Osbourne""",,""""""
p,"""notband""",,""""""
p funk all stars,"""Parliament-Funkadelic""",,""""""
"p,g","""unknown""",,""""""
paavo jaervi,"""Paavo Jaervi""",,""""""
pacific,"""Pacific!""",,""""""
pacific roots,"""Pacific Roots""",,""""""
page & plant,"""Jimmy Page & Robert Plant""",,""""""
page&plant,"""Jimmy Page & Robert Plant""",,""""""
pageplant,"""Jimmy Page & Robert Plant""",,""""""
pandf,"""Parliament-Funkadelic""",,""""""
panzerpappa,"""Panzerpappa""",,""""""
papadosio,"""Papadosio""",,""""""
papir,"""Papir""",,""""""
pappy,"""Pappy""",,""""""
pappyandcaleb,"""Pappy & Caleb""",,""""""
parkermillsap,"""Parker Millsap""",,""""""
parsonsfield,"""Parsonsfield""",,""""""
part,"""notband""",,""""""
part one,"""notband""",,""""""
pascal comelade,"""Pascal Comelade""",,""""""
passage,"""The Passage""",,""""""
pat metheny,"""Pat Metheny""",,""""""
pat benatar,"""Pat Beneatar""",,""""""
patrick street - salisbury,"""Patrick Street""",FALSE,""""""
pattersonearly,"""Patterson Hood""",FALSE,""""""
pattersonhood,"""Patterson Hood""",,""""""
pattersonlate,"""Patterson Hood""",FALSE,""""""
patti,"""Patti Smith""",,""""""
patti smith,"""Patti Smith""",,""""""
pattygriffin,"""Patty Griffin""",,""""""
paul,"""unknown""",,""""""
paul lewis,"""Paul Lewis""",,""""""
paul mccartney,"""Paul McCartney""",,""""""
paul mckenna band,"""Paul McKenna Band""",,""""""
paul motian trio,"""Paul Motian Trio""",,""""""
paul rodgers,"""Paul Rodgers""",,""""""
paul weller,"""Paul Weller""",,""""""
paula,"""unknown""",,""""""
paula cole,"""Paula Cole""",,""""""
paulanka,"""Paul Anka""",,""""""
paulkelly,"""Paul Kelly""",,""""""
paulmccartney,"""Paul McCartney""",,""""""
paulsimon,"""Paul Simon""",,""""""
pbq,"""PBQ""",,""""""
pch,"""PCH""",,""""""
pe,"""unknown""",,""""""
peach,"""Peach""",,""""""
peach tribute,"""unknown""",,""""""
peak,"""unknown""",,""""""
pearl jam,"""Pearl Jam""",,""""""
pegiyoung,"""Pegi Young""",,""""""
pendragonob,"""Pendragon""",FALSE,""""""
pendragonrheim,"""Pendragon""",FALSE,""""""
pere ubu,"""Pere Ubu""",,""""""
perfumegenius,"""Perfume Genius""",,""""""
permanent_tour,"""unknown""",,""""""
pete townshend,"""Pete Townshend""",,""""""
peter brÃ£Â¶tzmann,"""Peter Brötzmann""",,""""""
peter evans,"""Peter Evans""",,""""""
peter hammill,"""Peter Hammill""",,""""""
peter perrett,"""Peter Perrett""",,""""""
peter rowan,"""Peter Rowan""",,""""""
peter rowan and friends,"""Peter Rowan & Friends""",,""""""
petergreen,"""Peter Green""",,""""""
peterrowan,"""Peter Rowan""",,""""""
petes,"""unknown""",,""""""
petit fantÃ£Â´me,"""petit fantôme""",,""""""
petty,"""Tom Petty""",,""""""
petty frankfurt,"""Tom Petty""",FALSE,""""""
pettyessen,"""Tom Petty""",FALSE,""""""
petula clark,"""Petula Clark""",,""""""
pfefd,"""unknown""",,""""""
pfunk,"""Parliament-Funkadelic""",,""""""
pgmg,"""Pretty Girls Make Graves""",,""""""
phandg,"""unknown""",,""""""
phantogram,"""Phantogram""",,""""""
phantom,"""Phantom""",,""""""
pharmakon,"""Pharmakon""",,""""""
pharoah sanders,"""Pharoah Sanders""",,""""""
phil beer,"""Phil Beer""",,""""""
phil.moe,"""Phil Lesh & moe.""",,""""""
phil_rudd,"""Phil Rudd""",,""""""
philandfriends,"""incorrect""",,""""""
philbob,"""Phil Lesh & Bob Weir""",,""""""
phillesh,"""incorrect""",,""""""
phjb,"""Preservation Hall Jazz Band""",,""""""
phoebe bridgers,"""Phoebe Bridgers""",,""""""
phoebehunt,"""Phoebe Hunt""",,""""""
pickinonween,"""Pickin' on Ween""",,""""""
pierrebensusan,"""Pierre Bensusan""",,""""""
pietabrown,"""Pieta Brown""",,""""""
pigpen,"""Pigpen""",,""""""
pinehillhaints,"""The Pine Hill Haints""",,""""""
pinetopperkins,"""Pinetop Perkins""",,""""""
pink,"""P!nk""",,""""""
pink floyd,"""Pink Floyd""",,""""""
pink floyd - disc,"""Pink Floyd""",FALSE,""""""
pinkfloyd,"""Pink Floyd""",,""""""
pinkshinyultrablast,"""Pinkshinyultrablast""",,""""""
pipers,"""The Pipers""",,""""""
piste,"""Piste""",,""""""
pixies,"""The Pixies""",,""""""
pixies-manchester castlefield arena,"""The Pixies""",FALSE,""""""
pj harvey,"""P.J. Harvey""",,""""""
pj harvey poble espanyol de barcelona,"""P.J. Harvey""",FALSE,""""""
pj_harvey,"""P.J. Harvey""",,""""""
pl,"""incorrect""",,""""""
place_to_bury_strangers,"""Place to Bury Strangers""",,""""""
placebo,"""Placebo""",,""""""
placebo - glasgow,"""Placebo""",FALSE,""""""
plan b,"""Plan B""",,""""""
"plant, robert","""Robert Plant""",,""""""
plantman,"""Plantman""",,""""""
playa,"""Playa""",,""""""
plf.weir.tarrapin,"""Phil Lesh & Friends w/Bob Weir""",FALSE,""""""
plq,"""unknown""",,""""""
pltfb,"""Phil Lesh & Terrapin Family Band""",FALSE,""""""
pltxfb,"""Phil Lesh & Terrapin Family Band""",FALSE,""""""
pogues,"""Pogues""",,""""""
pokeylafarge,"""Pokey LaFarge""",,""""""
police,"""The Police""",,""""""
polyvamp,"""unknown""",,""""""
popachubby,"""Popa Chubby""",,""""""
popper&friends,"""John Popper""",,""""""
poptone,"""Poptones""",,""""""
por,"""unknown""",,""""""
porches,"""Porches""",,""""""
potter,"""Chris Potter""",,""""""
"potter, taborn, harland trio","""Chris Potter""",,""""""
poverty,"""unknown""",,""""""
powderforpigeons,"""Powder For Pigeons""",,""""""
powerwolfka,"""Power Wolf""",,""""""
pppp,"""unknown""",,""""""
pr early,"""Peter Rowan""",,""""""
pr+jd,"""Peter Rowan""",,""""""
pr-jd,"""Peter Rowan""",,""""""
present,"""unknown""",,""""""
preservation hall jazz band,"""Preservation Hall Jazz Band""",,""""""
pretenders,"""The Pretenders""",,""""""
pretty lightning,"""Pretty Lightning""",,""""""
prettylightning,"""Pretty Lightning""",,""""""
prettythings,"""The Pretty Things""",,""""""
pretzel logic,"""Pretzel Logic""",,""""""
price,"""unknown""",,""""""
prime movers,"""Prime Movers""",,""""""
primus,"""Primus""",,""""""
procol harum,"""Procol Harum""",,""""""
procolharum,"""Procol Harum""",,""""""
professorlouie,"""Professor Louis & The Crowmatics""",,""""""
protokaw-track,"""Proto Kaw""",,""""""
prrpgs,"""unknown""",,""""""
ps,"""Patti Smith""",,""""""
psb,"""unknown""",,""""""
pso,"""unknown""",,""""""
psychedelic furs,"""Psychedelic Furs""",,""""""
psychedelic furs - doncaster rotters,"""Psychedelic Furs""",,""""""
ptbg,"""unknown""",,""""""
ptf,"""unknown""",,""""""
ptfsms,"""unknown""",,""""""
puhdys,"""unknown""",,""""""
pullen,"""Don Pullen""",,""""""
purple haze,"""notband""",,""""""
pw,"""unknown""",,""""""
qalmuenchen,"""unknown""",,""""""
qango,"""Qango""",,""""""
qcnh,"""unknown""",,""""""
qms,"""Quicksilver Messenger Service""",,""""""
qntal,"""Qntal""",,""""""
qotsa,"""Queens of the Stone Age""",,""""""
queen,"""Queen""",,""""""
queen + adam lambert,"""Queen and Adam Lambert""",,""""""
queens of the stone age,"""Queens of the Stone Age""",,""""""
quicksand,"""Quicksand""",,""""""
quinnsullivan,"""Quinn Sullivan""",,""""""
quireboys,"""Quireboys""",,""""""
r.gallagher,"""Rory Gallagher""",,""""""
r.palmer,"""Robert Palmer""",,""""""
rack,"""unknown""",,""""""
radio moscow,"""Radio Moscow""",,""""""
radio_ad,"""notband""",,""""""
radiohead,"""Radiohead""",,""""""
radiomoscow,"""Radio Moscow""",,""""""
radiophonic workshop,"""notband""",,""""""
rae morris,"""Rae Morris""",,""""""
rafael_orozco,"""Rafael Orozco""",,""""""
rag n bone man,"""Rag 'N' Bone Man""",,""""""
rag'n'bone man,"""Rag 'N' Bone Man""",,""""""
ragespeyer,"""Rage""",,""""""
railroadearth,"""Railroad Earth""",,""""""
rain parade,"""Rain Parade""",,""""""
ralph,"""unknown""",,""""""
ralph mctell,"""Ralph McTell""",,""""""
ralphcarney,"""Ralph Carney""",,""""""
ralphroddenbery,"""Ralph Roddenbery""",,""""""
rammstein,"""Rammstein""",,""""""
ramones,"""The Ramones""",,""""""
randall,"""unknown""",,""""""
randynewman,"""Randy Newman""",,""""""
ratm,"""Rage Against The Machine""",,""""""
ratt,"""Ratt""",,""""""
raulmalo,"""Raul Malo""",,""""""
rav,"""unknown""",,""""""
ravi.may,"""unknown""",,""""""
ravishankar,"""Ravi Shankar""",,""""""
ray.bonneville,"""Ray Bonneville""",,""""""
raycharles,"""Ray Charles""",,""""""
rc,"""unknown""",,""""""
rc+dl,"""unknown""",,""""""
rcoltrane,"""Ravi Coltrane""",,""""""
rebel,"""Rebel""",,""""""
rebelution,"""Rebelution""",,""""""
redd kross,"""Redd Kross""",,""""""
redsun,"""Red Sun Band""",,""""""
"reed, lou","""Lou Reed""",,""""""
regina carter,"""Regina Carter""",,""""""
reginaspektor,"""Regina Spektor""",,""""""
reignwolf,"""Reignwolf""",,""""""
reingoldbartoshreichenbach,"""notband""",,""""""
rem,"""REM""",,""""""
remember shakti,"""Remember Shakti""",,""""""
renaissance,"""Renaissance""",,""""""
renzijohnstonshulmanvogler,"""unknown""",,""""""
replacements,"""Replacements""",,""""""
reptilian,"""Reptilian""",,""""""
residents,"""The Residents""",,""""""
revco,"""unknown""",,""""""
revivalists,"""Revivalists""",,""""""
revolution,"""Revolution""",,""""""
revpeyton,"""Reverand Peyton's Big Damn Band""",,""""""
revtor,"""unknown""",,""""""
rflack,"""Roberta Flack""",,""""""
rh,"""Radiohead""",,""""""
rhapsodyoffirelangen,"""notband""",,""""""
rhavens,"""Richie Havens""",,""""""
rhcp,"""Red Hot Chili Peppers""",,""""""
rhettmiller,"""Rhett Miller""",,""""""
rhythminc,"""notband""",,""""""
richard,"""unknown""",,""""""
richard hawley,"""Richard Hawley""",,""""""
richard hell,"""Richard Hell & The Voidoids""",,""""""
richard lloyd,"""Richard Lloyd""",,""""""
richard thompson,"""Richard Thompson""",,""""""
richard_thompson,"""Richard Thompson""",,""""""
richardshindellb,"""Richard Shindell""",,""""""
richardthompson,"""Richard Thompson""",,""""""
richie_havens,"""Richie Havens""",,""""""
richiehavens,"""Richie Havens""",,""""""
richiestearns,"""Richie Stearns""",,""""""
richrobinson,"""Rich Robinson""",,""""""
ricky,"""unknown""",,""""""
ricky ross,"""Ricky Ross""",,""""""
ringo starr,"""Ringo Starr""",,""""""
ringostarr,"""Ringo Starr""",,""""""
rio,"""unknown""",,""""""
rioma,"""unknown""",,""""""
rita ora,"""Rita Ora""",,""""""
ritchiefuray,"""Ritchie Furay""",,""""""
ritenour,"""Lee Ritenour""",,""""""
"ritenour, lee","""Lee Ritenour""",,""""""
riverbend,"""Riverbend""",,""""""
rjg & the enid,"""RJG & The Enid""",,""""""
rkirk,"""Rashaan Roland Kirk""",,""""""
rks,"""unknown""",,""""""
rm,"""unknown""",,""""""
rmb,"""unknown""",,""""""
roanoke,"""Roanoke""",,""""""
robbenford,"""Robben Ford""",,""""""
robbiefulks,"""Robbie Fulks""",,""""""
robert cray,"""Robert Cray""",,""""""
robert forster,"""Robert Forster""",,""""""
robert plant,"""Robert Plant""",,""""""
robert randoph & family,"""Robert Randolph & The Family Band""",,""""""
robert robertson,"""Robbie Robertson""",,""""""
robertcray,"""Robert Cray""",,""""""
robertfinley,"""Robert Finley""",,""""""
roberthunter,"""Robert Hunter""",,""""""
robertplant,"""Robert Plant""",,""""""
